code,name,description
EOSC_V 270,Marine Ecosystems,"Introduction to diversity of marine habitats and ecosystems; hydrothermal vent, intertidal, coral reef, estuarine, deep sea, and polar ecosystems; impacts of ecosystem change; evolution of ocean plankton; invasive species; climate change; pollution. [3-0-0] Prerequisite: One of SCIE 001, CHEM 110, CHEM 111, CHEM 120, CHEM 121, CHEM 141, CHEM 154."
EOSC_V 310,The Earth and the Solar System,"The Earth as a planet: its composition, internal dynamics, and surface evolution. Rotation, magnetic field, plate tectonics, earthquakes, volcanoes. The ocean, atmosphere, and biosphere as components of a varying geo-environment. Not for credit for students in specializations administered by the Department of Earth, Ocean, and Atmospheric Sciences. (https://www.eoas.ubc.ca/undergrad/degrees). No background in science or mathematics is required. Please consult the Faculty of Science Credit Exclusion List:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…[3-0-0] Prerequisite: 2nd-year class standing or higher."
EOSC_V 311,The Earth and its Resources,"An introduction to the Earth with emphasis on its industrial and aesthetic resources. Rocks, minerals, gold, diamonds, sediments, fossils, oil and gas, canyons, and volcanoes and the processes that create them. Not for credit for students in specializations administered by the Department of Earth, Ocean, and Atmospheric Sciences. (https://www.eoas.ubc.ca/undergrad/degrees). No background in science or mathematics is required. [3-0-0] Prerequisite: Class standing 2."
EOSC_V 314,The Ocean Environment,"An introduction to the oceans and the processes that have shaped them, their composition and movement, waves, tides, beaches, interactions with the atmosphere and human exploitation of the non-living resources. Not for credit for students in specializations administered by the Department of Earth, Ocean, and Atmospheric Sciences. (https://www.eoas.ubc.ca/undergrad/degrees). No background in science or mathematics is required. [3-0-0] Prerequisite: Class standing 2."
EOSC_V 315,The Ocean Ecosystem,"An introduction to life in the oceans, its variety and evolution; primary producers and their links to the environment, zooplankton, marine communities, living marine resources and their role in today's world. Not for credit for students in specializations administered by the Department of Earth, Ocean, and Atmospheric Sciences. (https://www.eoas.ubc.ca/undergrad/degrees). No background in science or mathematics is required. [3-0-0] Prerequisite: Class standing 2."
EOSC_V 320,Sedimentology,"Origin, diagenesis and geochemistry of sediments and sedimentary rocks. [2-2-0] Prerequisite: EOSC 221 and one of EOSC 210, EOSC 222."
EOSC_V 321,Igneous Petrology,The origin and formation of igneous rocks. [2-3-0] Prerequisite: EOSC 221.
EOSC_V 322,Metamorphic Petrology,"Deciphering lithospheric processes as recorded by the mineralogy, chemistry and textures of metamorphosed rocks. [2-3-0] Prerequisite: EOSC 221."
EOSC_V 323,Structural Geology I,"Analysis and interpretation of natural deformation. [2-3-0] Prerequisite: All of EOSC 221, EOSC 223 and one of EOSC 210, EOSC 222."
EOSC_V 325,Principles of Physical Hydrogeology,"Theories of storage and movement of water within groundwater systems; Groundwater-surface water interaction; Role of groundwater systems in watershed management and regulating the environmental impacts of global change; Groundwater sustainability; Impacts of climate & land use changes on groundwater resources. [3-0-1]. Prerequisite: (a) 3rd year standing in Science, Land and Food Systems, or Forestry and Environmental Stewardship; and (b) One of MATH_V 101, MATH_V 103, MATH_V 105, MATH_V 121, SCIE_V 001.This course is not eligible for Credit/D/Fail grading."
EOSC_V 326,Earth and Life Through Time,The fossil record of adaptation and extinction emphasizing the interaction of biological and geological processes. Not for credit in Geological Sciences and Geophysics specializations. Please consult the Faculty of Science Credit Exclusion List:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…. Second-year class standing or higher. [3-0-0] Prerequisite: Biology 12 or BIOL_V 100-level.
EOSC_V 327,Geochemical Thermodynamics,"Application of chemical thermodynamics to problem solving in the earth sciences. Geochemical tools are developed for: low-T aqueous geochemistry, high-T, high-P processes in the lithosphere, ore-deposit formation, and for prediction of geochemical reaction rates in all environments. [2-2-0] Prerequisite: EOSC220 Corequisite: CHEM 205."
EOSC_V 328,Field Geology,"Recording and processing geological data in the field. Held within the three weeks following April examinations after third year. A special fee is to be paid by January 31. Prerequisite: All of EOSC_V 323, EOSC_V 330 and one of EOSC_V 321, EOSC_V 322."
EOSC_V 329,Quantitative Groundwater Hydrology,"Introduction to theory of groundwater flow; flow nets; regional groundwater resource evaluation; well hydraulics; role of groundwater in geologic processes, case studies. [2-3*-3*] Prerequisite: One of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001."
EOSC_V 330,Principles of Geomorphology,"Landform development; morphological and historical analysis of landforms; applications in engineering and resource development. Please consult the Faculty of Science Credit Exclusion List:https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult…. [3-2-0] Prerequisite: One of GEOB 103, EOSC 110, EOSC 210."
EOSC_V 331,Introduction to Mineral Deposits,Introduction to economic geology and models related to mineral exploration. Study includes typical deposit types and their plate tectonic setting. [2-3-0] Prerequisite: EOSC 221.
EOSC_V 332,Tectonic Evolution of North America,"An overview of the geology and tectonic evolution of North America; comparisons and contrasts between Precambrian rocks of the North American craton and Phanerozoic belts of the Cordilleran, Appalachian, Ouachita and Innuitian orogens; interrelations between sedimentation, deformation, metamorphism and magmatism in a plate tectonic context. [3-0-0] Prerequisite: [EOSC323] or permission of the instructor."
EOSC_V 333,Elemental and Isotopic Geochemistry,"Analytical methods in geochemistry, major and trace element geochemistry, radiogenic isotopes, geochemistry of seawater, the mantle, basalts, subduction zones, sedimentary rocks, continental crust. [2-3-0] Prerequisite: EOSC 221."
EOSC_V 340,Climate Change: Causes and Solutions,"Mechanisms and processes of past and future global climate change. Climate models and projected impacts. Climate solutions including carbon sequestration, adaptation and geoengineering. [3-0-0] Prerequisite: Either (a) SCIE_V 001 or (b) one of CHEM_V 110, CHEM_V 111, CHEM_V 120, CHEM_V 121, CHEM_V 141, CHEM_V 154 and one of MATH_V 101, MATH_V 103, MATH_V 105, MATH_V 121, MATH_O 101, MATH_O 103 and one of PHYS_V 101, PHYS_V 106, PHYS_V 107, PHYS_V 117, PHYS_V 131, PHYS_V 153, PHYS_V 157, PHYS_O 111."
EOSC_V 345,Climate Change: Evidence and Impacts,"Climate science fundamentals: Energy balance, ocean and atmospheric circulation. Future climate scenarios. Processes driving spatial and temporal climate variability. Analysis of observations and climate projection data to evaluate the anthropogenic impact on climate. [3-0-0] Prerequisite: 3rd year class standing"
EOSC_V 350,"Environmental, Geotechnical, and Exploration Geophysics I","Principles of geophysical survey design, data acquisition, processing and interpretation with emphasis on near-surface problems. Magnetic, seismic reflection/refraction, electromagnetic and ground penetrating radar surveys. Case history analysis of environmental and geotechnical problems. [3-2-0] Prerequisite: One of MATH_V 200, MATH_V 253 and third-year standing or higher in Science or Applied Science."
EOSC_V 352,Geophysical Continuum Dynamics,"Introduction to tensor calculus and continuum mechanics. Stress, strain and strain-rate tensors. Mass, momentum and energy balance. Applications to problems of geophysical heat transport, elasticity and fluid dynamics. [3-0-0] Prerequisite: One of EOSC 250, MATH 317."
EOSC_V 353,Seismology,"Hooke's law for isotropic continua, elastic wave equation, reflection and refraction methods for imaging the Earth's internal structure, plane waves in an infinite medium and interaction with boundaries, body wave seismology, inversion of travel-time curves, generalized ray theory, crustal seismology, surface waves and earthquake source studies. [3-3*] Prerequisite: [EOSC352]"
EOSC_V 354,Analysis of Time Series and Inverse Theory for Earth Scientists,"Continuous and discrete Fourier transforms, correlation and convolution, spectral estimates, optimum least-squares filters, deconvolution and prediction, frequency-wave number filtering. A practical course on computer techniques applied to the analysis of a wide range of geophysical phenomena. [3-2-0] Prerequisite: Either (a) SCIE 001 or (b) one of MATH 101, MATH 103, MATH 105, MATH 121 and one of PHYS 101, PHYS 106, PHYS 107, PHYS 117, PHYS 131, PHYS 157."
EOSC_V 355,The Planets,"Diversity among the planets and moons of the solar system; integrating concepts across scientific disciplines, including geology, geophysics, and atmospheric science to understand how planets evolve. [3-0-0] Prerequisite: Either (a) SCIE 001 or (b) one of MATH 101, MATH 103, MATH 105, MATH 121; and one of CHEM 110, CHEM 111, CHEM 120, CHEM 121, CHEM 141, CHEM 154 and one of PHYS 101, PHYS 106, PHYS 107, PHYS 117, PHYS 131, PHYS 153, PHYS 157."
EOSC_V 372,Introductory Oceanography: Circulation and Plankton,"Physical and chemical processes and their controls on the distribution of plankton in the ocean. [3-0-0] Prerequisite: Either (a) SCIE 001 or (b) one of CHEM 110, CHEM 111, CHEM 120, CHEM 121, CHEM 141, CHEM 154 and one of MATH 101, MATH 103, MATH 105, MATH 121 and one of PHYS 101, PHYS 106, PHYS 107, PHYS 117, PHYS 131, PHYS 153, PHYS 157."
EOSC_V 373,Introductory Oceanography: Climate and Ecosystems,"Physical, chemical, and biological processes in the ocean and their interaction with climate and marine food-webs. [3-0-0] Prerequisite: EOSC 372."
EOSC_V 398,Co-operative Work Placement I,"Approved and supervised technical work experience in an industrial, university or government setting for a minimum of 14 weeks. Normally taken in the Summer Session (Terms 1 and 2) following second year. Technical report required. Restricted to students admitted to the Co-operative Education Option in Earth, Ocean and Atmospheric Sciences.This course is not eligible for Credit/D/Fail grading."
EOSC_V 399,Co-operative Work Placement II,"Approved and supervised technical work experience in an industrial, university or government setting for a minimum of 14 weeks. Normally taken in Winter Session (Term 1) in third year. Technical report required. Restricted to students admitted to the Co-operative Education Option in Earth, Ocean and Atmospheric Sciences.This course is not eligible for Credit/D/Fail grading."
EOSC_V 410,Geoscientific Data Analysis and Empirical Modelling,"Application of data analysis and empirical modelling strategies for conducting a data-oriented research in geosciences; from setting research questions and hypothesis to delivering and interpreting results. Examples are drawn from across the Earth, ocean, atmospheric and planetary sciences. [3-0-0] Prerequisite: One of STAT_V 200, BIOL_V 300 and one of MATH_V 111, MATH_V 131, MATH_V 200, MATH_V 221, MATH_V 223, EOSC_V 250 and one of EOSC_V 211, CPSC_V 203, CPSC_V 210."
EOSC_V 417,"Stable Isotopes in Earth, Ocean, and Environmental Sciences","Principles of stable isotope geochemistry applied to environmental systems, including instrumentation, data and sample analysis, and applications to (paleo) climate, oceanographic and environmental research. [3-0-0] Prerequisite: 3rd-year class standing or higher and either (a) SCIE_V 001 or (b) one of CHEM_V 111, CHEM_V 121, CHEM_V 141, CHEM_V 154 and one of MATH_V 101, MATH_V 103, MATH_V 105 or MATH_V 121."
EOSC_V 420,Volcanology,"Field and lab-based studies in volcanology concentrating on physical and chemical aspects of volcanic processes. [2-3-0] Prerequisite: All of EOSC_V 220, EOSC_V 221."
EOSC_V 421,Advanced Sedimentology,"Description and interpretation of ancient and modern sediments, with emphasis on the origin, composition, textures, structures, diagenesis and chemistry of biogenic sediments. [2-2-0] Prerequisite: [EOSC320] or permission of instructor."
EOSC_V 422,Structural Geology II,Studies of natural deformation using advanced techniques. [2-3-0] Prerequisite: [EOSC323]
EOSC_V 424,Advanced Mineral Deposits,Advanced concepts in the processes that lead to the formation of mineral deposits. Introduction to the study of ore minerals using reflected light microscopy. [2-3-0] Prerequisite: EOSC 331.
EOSC_V 425,Paleontology,Paleobiogeography in the context of plate tectonics. Mass extinction events. Fossilization and biases in the fossil record. Species concepts in paleontology. Biostratigraphy. Paleontological evidence for early life; the colonization of oceanic and terrestrial environments and; the evolution of the primates. [2-3-0] Prerequisite: EOSC 222.
EOSC_V 426,Fundamentals of Geomicrobiology,"Foundational knowledge of the interactions between microorganisms and Earth's surface chemistry. [3-0-0]. Prerequisite: One of BIOL_V 111, BIOL_V 112, BIOL_V 121, CHEM_V 110, CHEM_V 111, CHEM_V 120, CHEM_V 121, CHEM_V 141, EOSC_V 110, EOSC_V 112. Third year standing in Science.This course is not eligible for Credit/D/Fail grading."
EOSC_V 428,Field Techniques in Groundwater Hydrology,"Hydraulic head measurements, water-quality sampling, pump and slug testing, infiltration measurements, profiling techniques. Held over five days after spring term at the Richmond groundwater hydrology field-school site. Enrolment limitations. Prerequisite: One of EOSC 325, EOSC 329."
EOSC_V 429,Groundwater Contamination,"Contaminant transport processes in groundwater flow systems; aqueous and multiphase transport; mathematical models describing migration and chemical evolution of contaminant plumes; case studies. [2-2-0] Prerequisite: One of EOSC 325, EOSC 329."
EOSC_V 430,Aqueous Geochemistry,"Quantitative approaches to practical aqueous geochemistry problems. Equilibrium thermodynamics, kinetics, complexation, oxidation reduction, cation exchange, sorption and partitioning of organics. Case Studies. [2-2-0] Prerequisite: One of CHEM 123, CHEM 130, CHEM 154, SCIE 001. Corequisite: One of EOSC 325, EOSC 329."
EOSC_V 431,Groundwater Remediation,"Methods for containment and remediation of subsurface contaminants; including groundwater control, groundwater extraction, and in situ treatment. Experience with common design approaches. [2-2-0] Prerequisite: [EOSC429]"
EOSC_V 432,Fossil Fuels,"Origin, geochemistry and distribution of petroleum and coal in the stratigraphic record. Sedimentation of organic matter, organic diagenesis, migration and accumulation of hydrocarbons. Principles of exploration and development. Techniques for measurement of organic maturation and source rock analyses. [2-2-0] Corequisite: EOSC 320."
EOSC_V 433,Geological Engineering Practice I - Rock Engineering,"Application of rock mechanics, hydrogeology, and engineering design tools in realistically complex geological environments. Influence and treatment of geological uncertainty, and use of field data, geotechnical monitoring, and numerical analyses for tunnelling, mining and rock slope engineering projects. Case histories. [2-2-0] Prerequisite: All of EOSC 329, CIVL 210, MINE 303."
EOSC_V 434,Geological Engineering Practice II - Soil Engineering,"Application of geomorphology, hydrogeology, and soil mechanics to geotechnical design. Influence and treatment of geological uncertainty in geotechnical hazard and risk assessments; multi-disciplinary approaches to geotechnical engineering problems in realistically complex geological environments. Case histories. [2-2-0] Prerequisite: All of EOSC 329, EOSC 330, CIVL 210."
EOSC_V 440,Physical Climate Modelling,"Understanding climate models from 1D energy balance to fully coupled atmosphereocean general circulation models. Physics and thermodynamics of radiative balance and clouds. Spatial and temporal climate variability. Run simple climate models and analyze data from complex models. [3-0-0] Prerequisites: 3rd year class standing, and one of EOSC 211, EOSC 213, CPSC 203, CPSC 210, and MATH 200, and one of EOSC 112, ATSC 201, EOSC 340, EOSC 345, GEOS 102,GEOG 312, PHYS 333."
EOSC_V 442,Climate Measurement and Analysis,"Local climate time series collection and analysis. Retrieval and analysis of online climate data and model output. [0-3-0] Prerequisite: One of EOSC 340, EOSC 345 and one of CPSC 103, CPSC 110, EOSC 211, MATH 210, PHYS 210 and one of STAT 200, STAT 201, STAT 251, BIOL 300."
EOSC_V 445,Engineering Design Project,"Geological engineering design project from scope definition to final design. Based on a problem from industry. [2*-3-0, 2*-3-0] Prerequisite: All of EOSC 323, EOSC 330, CIVL 316. Corequisite: All of EOSC 433, CIVL 410."
EOSC_V 447,Thesis,For B.A.Sc. Topic to be approved by the Department. [0-3-0]
EOSC_V 448,Directed Studies,Investigation of a topic to be agreed upon by a member of the faculty and the student. Permission of an undergraduate advisor and of the supervising faculty member is required before registration.
EOSC_V 449,Thesis,"Original research work under the direction of a faculty member. Required of all honours students. Open to major students with a satisfactory standing, appropriate background courses and permission of the course instructor and the directing faculty member."
EOSC_V 450,Interior Structure of Earth and Planets,"Theory, application and quantitative interpretation of potential field methods for use in exploring the interior structure of Earth and planets. Topics drawn from problems in geophysical exploration, geodesy, geodynamics, geomagnetism, planetary magnetic fields, heat flow and fluid flow. [3-0-0] Prerequisite: One of PHYS 312, MATH 316, MATH 257 and one of PHYS 102, PHYS 108, PHYS 118, PHYS 158, SCIE 001."
EOSC_V 453,Physics of the Earth and Other Planets,"Identification and quantitative analysis of diverse physical problems in the earth, ocean, atmospheric, and planetary sciences. [3-0-0] Prerequisite: One of PHYS_V 312, MATH_V 316, MATH_V 257."
EOSC_V 454,Applied Geophysics,"Using geophysics to characterize the Earth's subsurface for resource exploration, engineering, or environmental applications. Data acquisition, processing, and interpretation of geophysical surveys. Inversion examples drawn from potential (electrical, magnetic, gravity) or wave field (seismic, ground penetrating radar) surveys. [3-2-0] Prerequisite: One of MATH_V 111, MATH_V 131, MATH_V 152, MATH_V 221, MATH_V 223, and one of EOSC_V 211, CPSC_V 203, CPSC_V 210, and one of MATH_V 316, PHYS_V 312, EOSC_V 350, EOSC_V 352."
EOSC_V 470,Biological Oceanography,"A quantitative examination of processes regulating the abundance, distribution and production of phytoplankton, zooplankton, microbes and fish. Controls of primary and secondary production, ecosystem dynamics and foodwebs. [3-0-0] Prerequisite: One of EOSC 372, EOSC 373."
EOSC_V 471,"Waves, Currents and Ocean Mixing","Use of observations, theory and model results to solve physical oceanographic problems including applications to transport and mixing of pollutants or nutrients. [3-0-0] Prerequisite: EOSC 211 and one of ATSC 201, EOSC 372, GEOB 200 and one of SCIE 001, PHYS 101, PHYS 106, PHYS 107, PHYS 117, PHYS 131, PHYS 157."
EOSC_V 472,Chemical Oceanography and Marine Geochemistry,"Controls on chemical composition and elemental distributions in seawater and marine sediments (including nutrient elements, dissolved gases, the carbonate system, marine organic matter, and trace metals); solution chemistry of seawater; isotopic tracers of rates and dates in marine systems; geochemical balance in the oceans. [3-0-2*] Prerequisite: EOSC 373."
EOSC_V 473,Methods in Oceanography,"Methods of data acquisition, study and analysis required in solving oceanographic problems. Includes a field school held during the mid-term break. A fee is to be paid by January 31. Open to third- and fourth-year students in Oceanography, or with permission of the Department Head. [0-3-0] Prerequisite: One of EOSC 372, EOSC 373."
EOSC_V 474,Marine Pollution,"An interdisciplinary study of pollution, with examples drawn from coastal and oceanic environments, including areas of local interest. Intended for third and fourth-year students with a background in the sciences. [3-0-0] Prerequisite: Third-year standing in Science."
EOSC_V 475,Marine Microbiology,"Advanced biology, ecology and diversity of marine microbes. Emphasis on the roles of bacteria and viruses in marine foodwebs and geochemical cycles. [3-0-0] Prerequisite: A minimum of 6 credits of third-year level life science courses."
EOSC_V 478,Introduction to Fisheries Science,"An introduction to the ecology and management of freshwater and marine fisheries. Topics include: population dynamics, species interactions, communities, environmental influences, stock assessment, economics and sociology of fisheries. Laboratories will consist of numerical analyses and simulations. [2-0-3]"
EOSC_V 490,"Student Directed Seminars in Earth, Ocean and Atmospheric Sciences","Self-directed, collaborative studies in earth, ocean and atmospheric sciences, in a group-learning environment, initiated and coordinated by senior undergraduate students with the supervision of a faculty advisor. Course structure, enrolment, and delivery methods will comply with the Handbook for Student Directed Seminars. Prerequisite: Third-year standing.This course is not eligible for Credit/D/Fail grading."
EOSC_V 498,Co-operative Work Placement III,"Approved and supervised technical work experience in an industrial, university of government setting for a minimum of 14 weeks. Normally taken in the Summer Session (Terms 1 and 2) following third year. Technical report required. Restricted to students admitted to the Co-operative Education Option in Earth, Ocean and Atmospheric Sciences.This course is not eligible for Credit/D/Fail grading."
EOSC_V 499,Co-operative Work Placement IV,"Approved and supervised technical work experience in an industrial, university or government setting for a minimum of 14 weeks. Normally taken in the Summer Session (Terms 1 and 2) following fourth year. Technical report required. Restricted to students admitted to the Co-operative Education Option in Earth, Ocean and Atmospheric Sciences.This course is not eligible for Credit/D/Fail grading."
EOSC_V 510,"Data Analysis in Atmospheric, Earth and Ocean Sciences",[3-0-0].This course is not eligible for Credit/D/Fail grading.
EOSC_V 511,"Numerical Techniques for Ocean, Atmosphere and Earth Scientists",This course is Web-based. Credit will not be granted for both ATSC_V 409 and ATSC_V 506/EOSC_V 511. Equivalency: ATSC_V 506.This course is not eligible for Credit/D/Fail grading.
EOSC_V 512,Advanced Geophysical Fluid Dynamics,This course is not eligible for Credit/D/Fail grading.
EOSC_V 513,Imaging and estimation with wavelets,This course is not eligible for Credit/D/Fail grading.
EOSC_V 514,Introduction to Geological Fluid Mechanics,This course is not eligible for Credit/D/Fail grading.
EOSC_V 515,Graduate Seminar Course,This course is not eligible for Credit/D/Fail grading.
EOSC_V 516,"Teaching and Learning in Earth, Ocean and Atmospheric Sciences",This course is not eligible for Credit/D/Fail grading.
EOSC_V 517,"Stable Isotopes in Earth, Ocean, and Environmental Sciences","Principles of stable isotope geochemistry applied to environmental systems, including instrumentation, data and sample analysis, and applications to (paleo) climate, oceanographic and environmental research. [3-0-0]This course is not eligible for Credit/D/Fail grading."
EOSC_V 518,Science Communication and Outreach in Museum and Other Informal Learning Settings,Theory and best practices for effective science communication in informal learning environments; common obstacles in communicating science to children and adults; design and rhetorical theory in the context of outreach development and communication; presentation of scientific phenomena to the public.This course is not eligible for Credit/D/Fail grading.
EOSC_V 519,Carbonate-rich Magmas and Their Mineral Deposits,"Carbonate-rich magmas—specifically carbonatites and kimberlites—as sources of iron ores, phosphates, rare earth elements, niobium, and diamonds. Origins, geological characteristics, and exploration strategies of carbonatites and kimberlites as potential hosts of economically significant mineral deposits. Open to students with appropriate background courses (ex. one of EOSC_V 321, EOSC_V 322, or a course in Igneous or/and Metamorphic Petrology with a lab component from another university).This course is not eligible for Credit/D/Fail grading."
EOSC_V 520,Advanced Mineralogy,"Crystal structure, chemistry, origin and paragenesis of major rock-forming and ore minerals.This course is not eligible for Credit/D/Fail grading."
EOSC_V 521,Microbeam and Diffraction Methods for the Characterization of Minerals and Materials,[2-3-0].This course is not eligible for Credit/D/Fail grading.
EOSC_V 522,Methods and Modelling in Petrology and Geochemistry,[3-0-2].This course is not eligible for Credit/D/Fail grading.
EOSC_V 523,Isotope Geology,This course is not eligible for Credit/D/Fail grading.
EOSC_V 524,Problems in Paleontology,Seminar. Given in alternate years.This course is not eligible for Credit/D/Fail grading.
EOSC_V 525,Magmatic Ore Deposits,Magmatic ore deposits and associated ore-forming systems with a focus on the petrology and geochemistry of mineralized intrusions and volcanic rocks.This course is not eligible for Credit/D/Fail grading.
EOSC_V 526,Mechanics of Natural Deformation,Lectures and laboratory problems.This course is not eligible for Credit/D/Fail grading.
EOSC_V 527,Instrumentation and Monitoring in Geological Engineering Practice,"Investigative versus performance monitoring. Monitoring requirements, limitations and system support. Tactical versus strategic monitoring. Data analysis, utilization and communication. Integration of monitoring with geotechnical and groundwater modelling. Case histories.This course is not eligible for Credit/D/Fail grading."
EOSC_V 528,Advanced Coal Geology,"The origin and character of coal and associated strata. Petrology, chemistry and physical properties of coal. Sedimentology of peat, biochemical and geochemical stages of coalification and oxidation of coal. Use of organic matter as a geothermometer and inbasinal analysis. Structural analysis and character of coal deposits. Analytical methods applied to coal.This course is not eligible for Credit/D/Fail grading."
EOSC_V 529,Topics in Geohazard Risk Management,This course is not eligible for Credit/D/Fail grading.
EOSC_V 530,Advanced Igneous Petrology,"Lectures, seminars and laboratories on the application of physical chemistry to the origin of igneous rocks; crystallization processes in silicate magmas; melt physical properties, heat transfer and fluid flow.This course is not eligible for Credit/D/Fail grading."
EOSC_V 531,Exploration Methodology,This course is not eligible for Credit/D/Fail grading.
EOSC_V 532,Field Laboratory in Groundwater Hydrology,"Hydraulic head measurements, water-quality sampling, pump and slug testing, infiltration measurements, profiling techniques. Computer analysis of field data. Held after spring term at the Richmond groundwater hydrology field site. Enrolment limitations. Prerequisite: EOSC_V 533.This course is not eligible for Credit/D/Fail grading."
EOSC_V 533,Groundwater Modelling in Practice,"Models of steady-state and transient groundwater flow in the saturated and unsaturated zones; applications to regional groundwater flow, groundwater recharge, subsurface contributions to streamflow, aquifer evaluation; model calibration. Case histories.This course is not eligible for Credit/D/Fail grading."
EOSC_V 534,Geological Engineering: Soils and Weak Rocks,Consult the credit exclusion list in the Faculty of Science section of the Calendar.https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/facult….This course is not eligible for Credit/D/Fail grading.
EOSC_V 535,Transport Processes in Porous Media,Transport of mass and heat in groundwater flow systems; modelling techniques including an introduction to the finite-element method; modelling of groundwater contamination.This course is not eligible for Credit/D/Fail grading.
EOSC_V 536,Geotechnical Modelling in Practice,"Application of geomechanics and engineering design tools in complex geological environments. Influence and treatment of geological uncertainty; use of field data, geotechnical monitoring and numerical analyses for tunnelling, mining and rock slope engineering projects. Case histories. See credit exclusion listwww.vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-sc….This course is not eligible for Credit/D/Fail grading."
EOSC_V 538,Diamond Exploration,This course is not eligible for Credit/D/Fail grading.
EOSC_V 539,Hydrothermal Ore Deposits,Prerequisite: Completion of a course in Economic Geology.This course is not eligible for Credit/D/Fail grading.
EOSC_V 540,Advanced Groundwater Geochemistry,This course is not eligible for Credit/D/Fail grading.
EOSC_V 541,Multi-component Reactive Transport Modelling in Groundwater,Prerequisite: Either (a) EOSC_V 430 or (b) EOSC_V 540; and EOSC_V 533.This course is not eligible for Credit/D/Fail grading.
EOSC_V 542,Advanced Volcanology,This course is not eligible for Credit/D/Fail grading.
EOSC_V 543,Topics in Solid Earth Sciences,This course is not eligible for Credit/D/Fail grading.
EOSC_V 544,Geodynamics,This course is not eligible for Credit/D/Fail grading.
EOSC_V 545,Advanced Models in Mineral Deposits,This course is not eligible for Credit/D/Fail grading.
EOSC_V 546,Advanced Field Methods in Earth Science,This course is not eligible for Credit/D/Fail grading.
EOSC_V 547,Tunneling and Underground Engineering,This course is not eligible for Credit/D/Fail grading.
EOSC_V 548,Graduating Paper for Masters Candidates without Thesis,This course is not eligible for Credit/D/Fail grading.
EOSC_V 549,Master's Thesis,This course is not eligible for Credit/D/Fail grading.
EOSC_V 550,Linear Inverse Theory,"Model construction, appraisal of nonuniqueness, and inference in linear problems. Tomographic inversions.This course is not eligible for Credit/D/Fail grading."
EOSC_V 551,Streamflow Generation Mechanisms,"Streamflow generation mechanisms, hydrologic processes, transit time distribution, environmental changes, landscape evolution and ecohydrology.This course is not eligible for Credit/D/Fail grading."
EOSC_V 552,Geomagnetism and Aeronomy,"Description of the geomagnetic field, dynamo theory of the origin of the geomagnetic field, transient magnetic variations, magnetic storms and ionospheric disturbances.This course is not eligible for Credit/D/Fail grading."
EOSC_V 554,Theoretical Glaciology,"Lectures and seminars on theoretical aspects of glacier mechanics; flow, stress and temperature fields, sliding theory, flow instabilities.This course is not eligible for Credit/D/Fail grading."
EOSC_V 555,Nonlinear Inverse Theory,"Model construction, appraisal of nonuniqueness, and inference in nonlinear problems. Stochastic inverses, constrained optimization, joint inversions and image processing.This course is not eligible for Credit/D/Fail grading."
EOSC_V 556,Studies in Applied Geophysics,This course is not eligible for Credit/D/Fail grading.
EOSC_V 561,Theory and Methods in Seismic Interpretation,"Topics to be selected from the following: forward modelling, analysis and inversion procedures as used in multichannel reflection, wide-angle reflection and refraction studies of the lithosphere. Velocity analyses, wave equation migration, dip moveout, synthetic seismograms, tomographic inversion, one-dimensional synthetic seismograms, tau-p methods, waveform inversion, two-dimensional ray tracing and synthetic seismograms, tomographic inversion.This course is not eligible for Credit/D/Fail grading."
EOSC_V 562,Mechanics of Earthquakes and Faulting,This course is not eligible for Credit/D/Fail grading.
EOSC_V 570,Paleoceanography,[3-0-0].This course is not eligible for Credit/D/Fail grading.
EOSC_V 571,Seminar in Physical Oceanography and Atmospheric Science,This course is not eligible for Credit/D/Fail grading.
EOSC_V 573,Methods in Oceanography,This course is not eligible for Credit/D/Fail grading.
EOSC_V 575,The Biology and Ecology of Marine Zooplanktonic Organisms,This course is not eligible for Credit/D/Fail grading.
EOSC_V 576,Inorganic Chemical Tracers in the Study of Marine Systems,"The chemical composition of seawater, cycles of gases, trace metals and radionuclides within the sea, chemical tracers in the study of water mixing, water movement and changes in ocean currents over time.This course is not eligible for Credit/D/Fail grading."
EOSC_V 578,Seminal Papers in Biological Oceanography,This course is not eligible for Credit/D/Fail grading.
EOSC_V 579,Dynamic Oceanography,Consult the Credit Exclusion List in the Faculty of Science section of the Calendar. Prerequisite: EOSC_V 512.This course is not eligible for Credit/D/Fail grading.
EOSC_V 580,Physical Climate Modelling,Climate models from 1D energy balance to fully coupled atmosphere-ocean general circulation models. Physics and thermodynamics of radiative balance and clouds. Spatial and temporal climate variability. Running simple climate models and data analysis from complex models. [3-0-0]This course is not eligible for Credit/D/Fail grading.
EOSC_V 582,Satellite Remote Sensing: Applications to Oceanography and Meteorology,A review of the satellite-sensed data products used in research and operational aspects of oceanography and meteorology. Equivalency: GEOG_V 515.This course is not eligible for Credit/D/Fail grading.
EOSC_V 583,Circulation Processes and Transport Mechanisms in Observational Oceanography,This course is not eligible for Credit/D/Fail grading.
EOSC_V 584,Topics in Biological Oceanography,This course is not eligible for Credit/D/Fail grading.
